Term,Definition,"Notes, Examples"
above,felett(i),
accelerating,gyorsítás,
actually,"ténylegesen, valójában, tulajdonképpen",
almost,majdnem,
along,"mentén, mentében, mellett,",
along with sg,"valamivel együtt, valami felett",
although,"habár, noha",
ancestor,előd,
and the like,"és így tovább, más hasonlók",
apotheosis,"felmagasztalás, dicsőítés",
apparent,kétségtelen,
approach,megközelítés,
appropriate,"helyénvaló, megfelelő",
area,terület (mat. is),
as early as,"olyan korán, mint",
as well,"helyes, azon kívül, ráadásul, is",
as you can see,amint láthatod,
ascendant,felmenő ági rokon,
at least,legalább,
back and forth,"oda-vissza, előre-hátra",
be acquainted with sy,"ismer vkt, ismeretségben áll vkvel",
bitwise,bitenkénti,
boundary,határ,
brake,"fék, fékez",
building block,építőelem,
buzzwords,divatos frázis,
cannon,ágyú,
capability,képesség,
(cash) register,pénztárgép,
certain,"biztos, kétségtelen",
"CGI, common gateway interface",általános átjárófelület,
changing gear,sebváltómű,
circumference,kerület,
colon,kettőspont,
command,parancs(nokság),
compound,összetett,
confusing,zavarbaejtő,
consistently,következetesen,
control flow statements,vezérlési szerkezetek,
could,"-hat, -het",
countryman,földi,
criterion,kritérium,
crowd,"banda, tömeg",
curly brackets,kapcsos zárójel,
daunting,"ijesztő, megfélemlítő, rémisztő",
descendant,leszármazott,
descending,csökkenő,
diameter,átmérő,
did it work?,működik? működött?,
discipline,"fegyelem, fegyelmezés, tudományág",
discouraged,"ellenzett, ellenjavallt",
each other,"egymást, egyik a másikat",
effort,erőkifejtés,
eligible,választható,
enforced,"kierőszakolt, erőltetett",
entire,"egész, teljes",
eventually,"végső fokon, történetesen, véletlenül, végül is",
exercise bike,szobakerékpár,
fame,hírnév,
farther,messzebb(re),
federal,szövetségi,
fellow,"párja, pajtás",
fellow countryman,honfitárs,
for short,röviden,
four months later,4 hónap(ok)kal később!!!,
gee,jesszusom,
general-purpose,általánosan alkalmazható,
generous,"dús, gazdag, termékeny, nemeslelkű",
giggle,"poén, vicces",
golly,istenuccse',
gook,"sárga, ferdeszemű",
hair-triggered,könnyen elsülő,
health,"egészség, gyengélkedés",
highlight,"fénypont, kiemelés",
hook,kampó,
however,"akárhogy is, bárhogy, annak ellenére, stb…, azonban, bármennyire",
I met him,találkoztam vele,
I met with him,"találkozóm volt vele, előre meg volt beszélve",
I was told in the library,azt mondták nekem a könyvtárban,
ill,"káros, rossz",
I'm right,igazam van,
I'm through,túl vagyok rajta,
I'm through doing that shit,"túl vagyok rajta, hogy ezt a szart csináljam",
immediate,közvetlen,
immutable,"megváltozhatatlan, állandó",
in addition,ráadásul,
in terms,"határozottan, félreérthetetlenül",
in turn,"felváltva, váltakozva",
incapable,képtelen,
in-control,ellenőrzés alatt lévő,
indeed,"valóban, sőt még…, hát még mit nem",
inefficient,nem hatékony,
initially,kezdetben,
innermost,legbelső,
instead,"helyette, inkább",
intermediate,közbülső,
inventory,leltár,
is to be said,úgy kell elmondani,
"jam, to jam","torlódás, dugó, bedugulni",
just,"éppen, pontosan, alig",
keep on doing sg,folytatni valaminek a csinálását,
leak,"rés, szivárgás, szivárog(tat), lék",memory leak
life span,élettartam,
light-weight,pehelysúlyú,
listing,"lista, listázás",
looks like this,"olyan, mint ez",
loose cannon,fékevesztett,
major,"fontos, nagy, komoly, jelentős, őrnagy, polgármester, jelentősebb",
make sense of sg,"megért, értelme van valaminek",
mascot,"szerencsefigura, kabbala, talizmán",
mechanism,mechanizmus,
merely,"merőben, csak, csupán, pusztán",
multiple,többszörös,
no longer,soha többé,
no matter how,bárhogyan is,
normal,közönséges,
nuts and bolds,alapvető,
omission,"elhagyás, kihagyás",
origin,"kezdet, kiindulás, origó",
otherwise,másképpen,
period,"pont, mint írásjel (am)",
persistence,"állandóság, állhatatosság, kitartás, állhatatosság, tartósság",
point,lényeg,
portable phone,mobil,
powerful,hatalmas,
preceding,"előző, megelőző",
preliminary,előzetes,
probably,"valószínűleg, talán, várhatóan","He probably assumes he won't become president, simply by reading the polls."
protective custody,védőőrizet,
provided,"feltéve, ha",
quite,"meglehetősen, egészen, teljesen",
rack of lamb,bárányborda,
ranging,besorolás,
rank,rang (meg valami iszonyat sok minden),
rather,"inkább, egy kicsit, kevéssé, meglehetősen",
rather than,"inkább, mint - hogysem, semmint",
Rather!,de még hogy!,
ratio of sg1 to sg2,"arányszám, hányados",
ready-made,"készáru, rendelésre készült",
reason,"ok, értelem",
reasonable,"értelmes, gondolkodó",
rectangle,téglalap,
restricted,korlátozott,
retail price,kiskereskedelmi ár,
risk,kockázat,
risky,kockázatos,
robbery,rablás,
rubber,"gumi, gyanta",
serious,"komoly, súlyos",
(shall,fogok…),
should,kell,
side effect,mellékhatás,
slight,jelentéktelen,
snippet,"töredék, darabka",
snotty,"piszkos, rongyos, tengerészkadét, taknyosan, szipogva",
socket,"tok, csatoló segédprogram",
steaming hot,gőzölgő,
stick up to sg,ragaszkodni valamihez vagy magadénak tudni valamit,
still,mégis (és még nagyon sok minden),
such as,úgy mint,
tail,farok (kutya),
take advantage of sg,kihasználni valaminek az előnyét,
taking to idea,"elgondolkodva, fontolóra véve",
tedious,unalmas,
teller,"megmondó, pénztáros",
tendency,"hajlam, célzatosság",
threatening,fenyegető,
to accelerate,gyorsítás,
to achieve,megvalósít,
to add,összead,
to adhere to sg,odatapad valamihez,
to affect,"érint, kihat vmire",
to agree,"egyeztet, elfogad, megegyezik",
to appear,"feltűnik, előtűnik",
to assign,"értéket ad, megjelöl",
to associate with sy in sg,"összekapcsol, társul, szövetkezik",
to assume,feltételez,
to attempt sg,megkísérel vmit,
to avoid,elkerül,
to be good at sg,enyhébben a fenti,
to be raised by somebody,felnevelve lenni valaki által,
to become (became),válik valamivé,
to bet on sg,fogadni valamibe,
"to blow (blew, blown)","fúj, liheg",
to blow off,felrobban,
to capture,"elfog, elfoglal",
to catch,elkapni,
to characterise,jellemez,
to confuse,összezavar,
to contradict,ellentmond,
to cut down,"levágni, lenyisszantani",
to depict,"lerajzol, megfest",
to describe,"leír, ecsetel",
to determine,meghatároz,
to divide,oszt,
to encourage,"bátorít, öszötnöz",
to entertain,szórakoztat,
to evaluate,kiértékel,
to exercise,gyakorol,
to expect,"elvár, számít, valószínűnek tart",
to explain,"megmagyaráz, megértet",
to expose,"kiemel, kitesz, megvilágít",
to have command of sg.,jól művel valamit,
to highlight,kiemel,
to indicate,jelez,
to insulate,"elkülönít, elszigetel",
to join,összeilleszt,
to launch,programot elindít (is),
to look like sg,valamilyennek látszik,
to multiply,szoroz,
to munch,csámcsog,
to occur,"történik, megesik",
to pass along,továbbad,
to play a part in sg,"szerepet játszik benne, úgy is mint alakoskodik",
to pour,"ömlik, önt",
to prevent,"megelőz, elhárít",
to promise sy sg,ígérni valakinek valamit,
to provide,"ellát, felszerel",
to refer,utal (ilyesmi),
to reflect,visszatükröz,
to refuse sy sg,megtagad valamit valakitől,
to request,"kíván, folyamodik",
to require,megkíván,
to restrict,megszorít,
to reveal,"felfed, kimutat, napvilágra hoz",
to start up,elindít,
to strive for sg,"iparkodik vmin, erőlködik vmin",
to substract,kivon,
to suggest,tanácsol,
to suppose,"feltételez, megkíván, feltesz",
to surround,"körbevesz, körülvesz",
to take a drag off of his smoke,beleszippant,
to threaten,fenyeget,
ton,tonna,
trail,ösvény,
transient,"átmeneti, múlékony",
twofold,kétszeres,
underlying,"vminek az alapjául szolgáló, mögöttes, alárendelt",
uniform,egyforma,
unimportant,jelentéktelen,
unrelated,össze nem függő,
unwise,"oktalan, esztelen",
various,változatos,
versus sg,valamivel szemben,
volatile,"változékony, illékony, illó, illékony, frivol",
wagging,csóvál,
was born,csak szenvedő szerkezetben lehet megszületni,
waving at you,integet neked,
wheel,kerék,
When you go on like this,amikor folytatod ennek a csinálását = amikor így csinálsz,
wide,széles,
widgets,"kütyü, widgetek",
you get your head blown off stickin'up,WFT,
you might be wondering how it works,"talán csodálkozni fogsz azon, hogy hogy működik",
Young Man goes right back into it.,A fiatalember azonnal folytatja.,
you've seen,látni fogod,
abandon,abbahagy,Her natural mother had abandoned her at an early age.
abase,megaláz,I watched my colleagues abasing themselves before the board of trustees.
abet,felbujt,He was not guilty of murder but was guilty of aiding and abetting others.
abhor,gyűlöl,
abide,"tartózkodik, elvisel, betart",1. If there is one thing I cannot abide it is a lack of discipline. 2. I said I would abide by their decision.
abjectly,aljasul,
abjure,esküvel tagad,His refusal to abjure the Catholic faith.
aboard,fedélzeten,"The plane crashed, killing all 158 people aboard."
abode,lakóhely,This is her current abode.
abolition,eltörlés,"If you ever doubt whether the abolition of borders is your friend or enemy, think about how much you have to give up to move for a better life."
abomination,"utálat, undor",
abroad,külföldön,We usually go abroad for a week in May.
abrogate,"érvénytelenít, megszünteti",A proposal to abrogate temporarily the right to strike.
abrupt,"hirtelen, udvariatlan, összefüggéstelen",I was surprised by the abrupt change of subject.
absence,"távollét, hiány",The letter arrived during his absence.
absorbent,nedvszívó,
absorbing,"magával ragadó, nagyon érdekes, figyelmet lekötő,",
abstemious,mértékletes,He lived an abstemious way of life.
abstract idea,elvont eszme,
abstract noun,"elvont főnév, fogalom",
abstract object,elnot tárgy,
abstruse,"homályos, rejtett értelmű",The students avoided the professor's abstruse lectures.
abuzz,zümmögés,In the wake of recent magnificent sports events the whole nation is abuzz with a new life lesson: That national sport success is exactly like real success of one’s own.
abysmal,feneketlen,In the end of the world they lived in abysmal ignorance.
accelerate,"gyorsul, gyorsít",The car accelerated toward the tree.
accent,"hangsúly, akcentus, nyomaték",
accomplish,"megvalósít, teljesít, tökéletesít",The troops accomplished their mission.
accomplished,"tökéletes, teljesítve, csiszolt",With his last work he became an accomplished poet.
accordingly,eszerint,We have to discover what his plans are and act accordingly.
accountancy,könyvelés,Martin did not continue his cricket career beyond these matches and instead spent a professional career in accountancy .
accusation,"vád, vádaskodás",
accustomed,"szokásos, mindennapi",He liked his accustomed route.
accustomed to something,hozzászokott valamihez,I accustomed my eyes to the lenses.
achievement,"teljesítés, teljesítmény",To reach this stage is a great achievement.
acknowledge,"elismer, elfogad",He refused to acknowledge my presence.
acquiesce,"beleegyezik, belemegy",Sara acquiesced in his decision.
acquire,"szerez, elsajátít",The team acquired three new players this year.
acumen,éleslátás,Robert's best skill was his business acumen.
add fuel to the fire,olajat önt a tűzre,Jenna always add fuel to the fire.
addition,"kiegészítés, hozzáadás, hozzáépítés",The hotel has been extended with the addition of more rooms.
adhere to,"ragad, ragaszkodik",Paint won't adhere well to a greasy surface.
adjacent,szomszédos,
adjust,"igazít, beállít",He smoothed his hair and adjusted his tie.
admit,"bevall, elismer",The office finally admitted that several prisoners had been injured.
admittance,belépési engedély,The owner of a bar can refuse admittance to anyone that isn't blonde.
admittedly,kétségkívül,"Admittedly, the salary was not wonderful, but the duties were light."
admonish,"figyelmeztet, megint",
adrift,"sodródva, hányódva",A cargo ship went adrift.
adroit,ügyes,"He was adroit at tax avoidance,"
adulation,hízelgés,He found it difficult to cope with the adulation of the fans.
advancement,"haladás, fejlődés",Their lives were devoted to the advancement of science.
advantageous,"előnyös, hasznos",The scheme is advantageous to your company.
adverbial,határozószó,
adverbial of direction,irányhatározó,
adverbial of distance,távolsághatározó,
adverbial of frequency,gyakorisághatározó,
adverbial of location,helyhatározó,
adverbial of manner,módhatározó,
adverbial of place,helyhatározó,
adverbial of probability,valószínűséghatározó,
adverbial of time,időhatározó,
adversely,hátrányos(an),Being raised by nannies doesn't seem to have adversely affected my kids at all.
adversity,"balsors, csapás","No matter what adversity or fear we may confront, we are always inherently free to choose how to be."
advocate,"ügyvéd, támogató",He was an untiring advocate of economic reform.
affable,barátságos,He was an affable and agreeable companion.
affect,"hat, érint",The way I worked at this time began to affect my health.
affirmative sentence,állító mondat,
affluence,jólét,
afford,megenged magának,"If you are a facebooker, writers, or not tech savvy, then macbook is affordable, and great all in one that's easy to take everywhere and you look great."
aftermath,utóhatás,Proper use of slurry and fertilizer are essential to the recovery of silage aftermaths right now.
agenda,napirend,The question of nuclear weapons had been removed from the agenda.
aggravate,"bosszant, súlyosbít",Military action would only aggravate the situation.
aggregate,"felhalmoz, csoportosít, csoportos","There were no social media to help them aggregate and share stories, quotes, recipes, or images."
agreement,megegyezés,The governments failed to reach agreement.
ailing,gyengélkedő,I went to see my ailing mother.
aim,"cél, céloz, célzás",Our primary aim is to achieve financial independence.
akin,"rokon, hasonló, vérrokon","akin to Charon, In childhood, he was remarkable for an extreme and marked sensitiveness of character, more akin to the softness of woman than the ordinary hardness of his own sex."
alacrity,"vidámság, fürgeség",
alas,"jaj, ó",
albeit,habár,
alienate,elidegenít,
alight,"kiszáll, leszáll, égő, lángoló, lángolva",
alike,"hasonló, ugyanolyan, egyformán",the brothers were very much alike
allay,"enyhít, lecsendesít",
allegedly,állítólag,
allegiant,"lojális, hűséges",
alleviate,"enyhít, csökkent",The original learned helplessness theory comes from an experiment by Richard L. Solomon who had trained dogs to induce the sense of helplessness and the resulting inaction by placing them in an environment where they were not in control to alleviate discomfort.
altogether,"teljesen, együtt, egészében véve",
amalgamate,"foncsorozott, egyesít, ötvöz",
amazing,"elképesztő, bámulatos",
ambiguity,"kétértelműség, homályosság",
ambiguous,"kétértelmű, zavaros, féreérthető, zavaros",
ambitious,ambiciózus,
ambivalent,"ellentmondásos, kétértelmű, ambivalens",
ameliorate,"fejleszt, javul, javít",
amend,"módosít, javít, kiegészít",
amicable,barátságos,
amity,"egyetértés, jóakarat",
among,"között, közé",
amongst,között (régimódi),
amount,"összeg, mennyiség",
amplify,"erősít, megerősít",He then tried to amplify the material he got from Trump by calling others involved in the deals.
amplitude,"amplitúdó, bőség",
amply,"bőségesen, bőven",
amuse,"szórakoztat, mulattat",
amused,"vidám, örül",
amusing,"szórakoztató, mulatságos, élvezetes",
analogous,"hasonló, megegyező",
anathema,"átok, kiátkozás",
"anemic, anaemic","vérszegény, gyengusz",
animantion,élénkség,
animosity,"ellenségeskedés, rosszindulat",
annex,"melléklet, csatol",
announce,bejelent,
announcement,közlemény,I know announcements on new Macs are due soon but...
annoying,"bosszantó, zavaró",
antediluvian,"özönvíz előtti, ósdi, aggastyán",
anticipate,"megérez, előre lát, számít, sejtet, megelőz",
anyway,akárhogyan is,
ape,emberszabású majom,
apex,"csúcs, elérni a csúcsot",
aplomb,"higgadtság, biztos fellépés",
apologetic,"mentegetőző, védekező",
apologist,"hitvédő, mentegető",
apologize,"bocsánatot kér, mentegetőzik, menteget (?)",
apostrophe,aposztróf,
apparent,"látszólagos, látható, nyilvánvaló","Even here on the forum, the panic is apparent."
apparently,"látszólag, kézzel foghatóan",
appeal,"fellebbezés, kérés, varázs, vonzerő, felhívás",
appease,"kielégít, lecsillapít",
appliance,készülék,
appoint,kinevez,
appreciation,"nagyrabecsülés, felértékelődés, értéknövekedés",Would appreciate advice on this please.
apprehensive,szorongó valami előre látható miatt,
approach,megközelítés,
approbation,"jóváhagyás, igazolás",
appropriate,"megfelelő, alkalmas, helyes, találó, eltulajdonít",
approval,"jóváhagyás, hozzájárulás, helyeslés",
arbitrary,"önkényes, önhatalmú, tetszőleges",
archetypal,archetipikus,
ardor,"lelkesedés, hevesség",
arguably,vitathatóan,
argue,"érvel, vitatkozik, vitat",defense attorneys argue that the police lacked probable cause to arrest the driver
argument,"érv, téma, vita, érvelés",
arise,"felmerül, felkel, feltámad, keletkezik",
arrogate,"megszüntet, érvénytelenít",
artichoke,articsóka,
article,névelő,
articulate,"kifejt, tagolt, közérthető",
artisan,kézműves,
ascertain,"meggyőződik, kiderít, tisztáz, megállapít",
ascetic,"aszkéta, aszketikus",
ashamed,megszégyenülve,
aside,"félre, el-az-útból",
ask for trouble,maga keresi a bajt magának,
aspiration,törekvés,
assassin,orgyilkos,
assault,"támadás, roham, ostrom, rohamoz, támad",
assemble,"összeszerel, összeállít",
assembly,"gyülekezés, gyülekezet, összeszerel",
assent to,hozzájárul valamihez,
assertion,"megerősítés, határozott kijelentés, követelés",
assertive existential pronoun,"asszertív egzisztenciális névmás (something, somebody)",
assessment,"értékelés, adókivetés, felbecsülés",
assiduous,szorgalmas,
assignment,"feladat, beosztás, juttatás, kijelölés",
associate,"társult, kisegítő, kapcsolatba hoz, egyesít, hozzáad, kellék",
assuage,"csillapít, megnyugtat",
assume,"feltételez, magára vállal","He probably assumes he won't become president, simply by reading the polls."
assumption,"feltevés, hipotézis, mennybemenetel",
astound,"elképeszt, ámulatba ejt, elképeszt, megdöbbent",
astounding,meghökkentő,
asylum,bolondok háza,
at all,egyáltalán,
at my expense,az én költségemre,
atrociously,"sokkolóan brutálisan, kegyetlenül",
atrocity,"atrocitás, fizikai erőszakkal főleg",
attain,"elér, megvalósít, célt ér",
attempt,"kísérlet, próbálkozás",
attendant,"kísérő, kezelő",
attract,"vonz, csábít",I am not too bothered about the retina screen but am attracted to the MB because of the lower price.
aubergine,padlizsán,
"aught, anything at all (ought)",valahogy,
authority,"hatóság, hatalom, tekintély, jogkör, felhatalmazás",
authorize,"engedélyez, felhatalmaz",
auxiliary verb,segédige,
avarice,"kapzsiság, fösvénység",
average,"átlagos, átlag, átlagot elér",
avid,mohó,
aware,"tisztában van vele, tájékozott",most people are aware of the dangers of sunbathing
awareness,tudatosság,
awe,"félelem, megfélemlít",
awhile,rövid ideig,
awkward,"kínos, ügyetlen",
awkwardness,visszásság,
ax,"fejsze, erősen leszállít",the company is axing 125 jobs
axle,tengely,
bachelor,"egyetemi alapfok, agglegény",
back,"hátsó, vissza, támogat, lóra fogad, hátrál, fenék, hát, hátvéd, elmaradt, hátralékos",
back then,akkoriban,
backdrop,háttér,
backtrack,visszalép,
backward,"hátrafelé, fejletlen, visszamaradt, visszafelé irányuló",
badge,"jelvény, kitűző",
baffle,"zavarba ejt, meghiúsít",
baffled,érthetetlen,
bailout,"állami támogatás, segély",
bait,csali,
balcony,"terasz, erkély",
bald,kopasz,
band-aid,sebtapasz,
bandaid,sebtapasz,
bandanna,fejkendő (nyakban is),
bandwagon,"zenekari kocsi felvonuláson, tevékenység, ami hirtelen divatos lesz",jump on the bandwagon of cloud computing
bare,"csupasz, puszta, meztelen, lemeztelenít",
barely,"alig, éppen hogy, hiányosan",
bargain,alku,
base form,alapalak,
bash,"horpadás, ütés, megüt, bever, dagaszt",
bastard,"gazember, rohadék, fattyű",
be reminiscent of something,emlékeztet valamire,
beam,gerenda,
bear,"1. medve, 2. visel, hord, elvisel, elszenved",
bearing in mind,szem előtt tartani,Is it worth bearing in mind.
bedfellow,hálótárs,
before too long,"mielőtt túl késő lesz, hamar",
beg,"könyörög, koldul, kér",
begging,könyörög,
behavior,viselkedés,
behold,"észrevesz, meglát, íme, tanú",
beholder,"szemlélő, érzékelő, megfigyelő",
beliefs,hiedelmek,
belittle,"(le)kicsinyel, ócsárol",
belligerent,hadviselő,
bellow,"ordít, üvölt, bőg, ordítás, bőgés",
belong (to),"valakié, tartozik valakihez/mihez",
belonging,valakihez-mihez tartozó,
bemoan,"fájlal, gyászol",
bend,"hajlít, hajlik, kanyar, görbület, hajlás, elhajlás",
beneath,"alatt, alá",
benefaction,jótett,
beneficial,"előnyös, jótékony hatású",
beneficiary,"kedvezményezett, haszonélvező",
benefit,"haszon, juttatás, előny, jótétemény, jutalmazás, mentesség, segély",
benevolent,jóindulatú,
besides,"kívül, amellett, azon kívül, mindemellett, azonfelül",
beware,légy óvatos,
bezel,foglalat,
bias,előítélet,
bid,"ígér, kínál(at), árajánlat, megjátszik, megparancsol",
big deal!,nagy ügy! (ironikus),
billabong,holtágból képződött tó,
billboard,hirdetőtábla,
bind,"köt, megkötöz, kötelez, problémás helyzet",
biscuit,keksz,
blacklight,"UV-A fény, fekete fény",
blame,"szemrehányás, hibáztat, vádol, okol",
blanket,"pokróc, takaró",
blasted,tetves,
blatant,"zajos, szégyentelen, szemérmetlen, botrányos",
blazing,"lángoló, lobogó",
bleak,"zord, kietlen",
blemish,"hiba, fogyatékosság, elcsúfít",
blend,"keverék, elvegyül, vegyít",
blight,"penész, rozsda, állagromlás, megront",
blind,"vak, elvakít",
blissful,"áldott, boldog",
bloat,"duzzad, duzzaszt",
bloated,felfuvalkodott,
blunt,"tompa, buta, tompít",
bodily,"testi, fizikai",
bog down,megfeneklik,
boggle,visszariad,
bombard,bombáz,"Defenceless villages are bombarded from the air, the inhabitants driven out into the countryside, the cattle machine-gunned, the huts set on fire with incendiary bullets: this is called pacification."
bona fide,jóhiszemű,
bonding,"kötődés, kapcsolat",
bonnet,motorháztető,
boo,Hess!,
bookcase,könyvespolc,
boot,csomagtartó,
bore,"fáraszt, untat, unalom",
bored,unott,
bother,"zavar, háborgat, zaklatás, alkalmatlanság",
bothersome,kellemetlen,
bouncer,kidobómber,
brass,"sárgaréz, fúvóshangszer",
brazen,arcátlan,
breakthrough,áttörés,
bribery,vesztegetés,
bridge of the nose,orrnyereg,
brink of an extinction,kihalás szélén,
broadcast,"közvetítés, sugárzás, adás",
brunch,"villásreggeli, tízórai",
brusque,"nyers, rideg",
brute,nyers erő,
buckle,"csat, csatol, hajlít",
buddy,"haver, közeli barát, cimbora",
budgie,törpepapagály,
buff,"bivalybőr, barnássárga, profi, puhít, fényesít, jó állapotú",
bulk,"tömeg, zöm, nagyobb rész",
bulky,"terjedelmes, testes",
bump,"ütődés, összeütközés, daganat (tumor), összeütközik",
bumper,lökhárító,
bunch (of),"csokor, csomó, boly",
buoy,"felszínen tart, úsztat, bója",
burden,"teher, nehéz sors",
burst,"robbanás, kitörés, sorozatlövés, szétszakadás, robbanó, robban, szétreped, szétszakít",
bury,"eltemet, elföldel",
bust,"kikészít, szétszakad, mellbőség, mellszobor, felsőtest, mell, női",
buttload,nagy mennyiség,
by proxy,"meghatalmazottként, áttételesen",
byproduct,melléktermék,
cabinet,"szekrény, vitrin, kormány, minisztertanács",
cackling,"vihog, kotkodácsol",
cadaver,"holttest, tetem",
cadence,"hanglejtés, mérték, mennyiség, ütem, ritmus",
cajole,hízelegve rábeszél,
cake,"torta, sütemény",
call names,"csúfol, gúnynéven szólít, durván inzultál, etc.",He was calling me names because he disagreed with something I'd written.
calumny,"rágalom, hamis vád",
campground,tábor,
campsite,táborhely,
can (food),"kanna, dobozos üdítő csomagolóanyaga",
can't judge a book by its cover,lehet megítélni egy könyvet a borítója alapján,
candidate,jelölt,presidential candidate
candor,"őszinteség, pártatlanság, elfogulatlanság",
capacious,"tágas, mély",
caper,fickándozás,
capital letter,nagybetű,
capitalize,tőkésít,
capitalize on,kihasznál valamit,"„One cannot capitalize on the opportunities of democracy in that chronic state of fear that believes that liberty is a threat to the national cause. To be a democrat means first and foremost not to be afraid: from those with different opinion, language or race, from revolution or conspiracy, from the evil intentions of the enemy, from enemy propaganda, not to fear from being disparaged, and all the other imaginary dangers that become real exactly because we start fearing them., István Bibó, 1946"
capricious,szeszélyes,
captor,foglyul ejtő,
capture,"elfog, erővel megszerez, zsákmányolás",
caravan,lakókocsi,
carcass,hulla,
carnage,"vérontás, mészárlás",
carry out,"végrehajt, kivitelez",
carve,"farag, vés, szeletel",
cash machine,automata (ATM),
cassava,manióka,
cast,"vet, dob, hajít, öntvény, szereposztás, dobás, gipszöntvény, kefelenyomat, öntvény, gipsz",
cast off,kitaszít,
catastrophic,"végzetes, szerencsétlen",
catch,"elkap, megfog, rajtakap, ért, fogás, labda elkapása",
catchphrase,divatos szóhasználat,
cattle,szarvasmarha,
cauldron,üst,
cauliflower,karfiol,
cautiously,óvatosan,
caveat,ellentmondás,
caw,károg,
cease,"megszűnik, befejez, szünet, megállás",
ceaseless,szüntelen,
cede,átenged,It's a general rule of politics not to enter into unpredictable situations or cede control of an event or happening to someone who wants to hurt you.
cement,bebetonoz,PM Orbán has an explicit goal to cement himself and his cronies in economic power as well as to increase the influence of the governing Fidesz party in the economy.
censorious,"kritikus, ítélkező",
censure,"elítél, megró, helytelenít",
chalk,"kréta, mészkő, krétával megjelöl",
challenge(d),"valamiben akadályozott, kihív(ás), felelősségre von, kérdőre von, kétségbe von","When challenged about the facts, Schwartz says, Trump would often double down, repeat himself, and grow belligerent."
change in time,"eltelt idő, delta t",
characterize,jellemez,
chard,mángold,
charge,"díj, töltet, tölt, vádol, rakomány, felszámít",
charged,"vádlott, töltött",
charitable,"jótékony, könyörületes",
charity,"adomány, jótékonyság",
charlatan,"kuruzsló, sarlatán, valaki, aki többet állít magáról, mint ami",
chase,"üldözés, vadászat, üldöz, vadászik, elkerget",
chase away,elűz,
cheeky,"szemtelen, arcátlan",
cheer,"éljenzés, éljenez",
cheer up,felvidít,
cheerfulness,"vidámság, jókedv",
cheetah,gepárd,
cherry picking,kimazsoláz,
chop-chop,gyorsan,
chore,"házimunka, házimunkát végez",
chunk,"nagy darab, jókora adag valamiből",
circuitous,tekervényes,
circulate,"kering, forgalomba hoz, elterjeszt hírt",
circumstance,körülmény,
claim,"követelés, kárigény, reklamáció, jogalap, igényel, állít",
clandestine,"titkos, rejtett",
clarify,"kitisztul, tisztít",
clash,"összecsapás, összecsap",
clause,"záradék, kikötés, mellékmondat",
claw,karom,
cleanup,razzia,
clearance,"vámkezelés, engedély, megtisztítás, szabaddá tétel",
clerk,hivatalnok,
clichéd,közhelyes,
cling,"ragaszkodik, csüng",
clinging to life,kapaszkodik az életbe,
cloak,"köpeny, ujjatlan lógó ruhadarab, valami elrejtésére szolgál",
clothe,felöltözik,
clue,"nyom, kulcs, rejtély kulcsa",
clueless,tanácstalan,
clumsy,"ügyetlen, balkezes",
clunky,nehézkes,
coagulate,"megalvad, összeáll",
coalesce,egyesül,
cocky,öntelt,
coercive,kényszerítő erejű,
cog,fogaskerék,
coil,"tekercs, orsó, fűtőszál, felcsavar",
coincidental,időben egybeeső,
collide,összeütközik,
collocate,"összeállít, osztályoz, csoportosít",
colloquial form,köznyelvi alak,
colloquially,köznyelvben,
combustion,"égés, tűzvész",
come over,átjön,
comma,vessző,
comment,megjegyzés,
commentary,"szövegmagyarázat, fejtegetés, olvasat",
commit,"elkövet, rábíz",
committee,bizottság,
commodity,"árucikk, alapanyag",
common,"köznyelvi, közönséges",
common sense,józan ész,
commonalities,hasonlóságok,
commonality,"egységesség, csereszabatosság",
commonplace,"közhely, köznapi",
commute,ingázik,
commuter,ingázó,
comparative adjective,középfokú melléknév,
comparison,összehasonlítás,
compassion,együttérzés,
compelled,kénytelen,
compelling,kényszerítő,
complacent,öntelt,
complain,panaszkodik,
complement,"kiegészítés, pótlék (kapcsolóige)",
compliance,"teljesítés, engedékenység, egyetértés, beleegyezés",
comply,"teljesít, megfelel",
comply (with),"teljesít, összeegyeztet",
composed,"főleg, higgadt, nyugodt, kontroll alatt van",
compound noun,összetett főnév,
comprehension,"felfogás, értelem",
comprehensive,"átfogó, széleskörű, teljeskörű, teljes",
compromise,"kompromisszum, megalkuszik",
compromised,veszélyetetett,
conceal,"leplez, elrejt, palástol, visszavon",
concede,"elismer, átenged",
conceivably,elképzelhetőleg,
concern,"vonatkozik, érint, aggodalom, törődés, vonatkozás",oil reserves are the concern of the Energy Department
concise,"tömör, velős",
concoct,"kiagyal, készít",
concomitant,"velejáró, kísérő (jelenség)",
condemnation,"kárhoztatás, rosszallás",
condition,feltétel,
conditional,feltételes,
confectionary,cukrászda,
confidence,"bizalom, magabiztosság, meggyőződés",
confident,"magabiztos, önbizalommal teli",
confine,"korlátoz, határ",
confirm,megerősít,
confiscate,elkoboz,
conflate,összemos,You’re conflating morals with religious beliefs.
confluence,"keresztezés, összefolyás (folyó, torkollás)",
conformity,alkalmazkodás,
confuse,"összekever, összezavar",
confused,"zavaros, zavarodott",
conjure,varázsol,
conjure up,megidéz,"Security threats send voters rushing to the safety of a strongman – and they are easy to find, conjure up or create."
conscience,lelkiismeret,
consequential,következménnyel járó,
consequently,Következésképpen,
