English,Hungarian
frozen,fagyott
fruit,gyümölcs
fuck,baszd
fucked,baszott
fucker,bukó
fuckin,kibaszott
fucking,kibaszott
fuel,üzemanyag
full,teljes
fully,teljesen
fun,szórakozás
function,funkció
fund,alap
funeral,temetés
funny,vicces
furniture,bútor
further,további
fuss,fontoskodás
future,jövő
gabriel,Gabriel
gain,nyereség
galaxy,galaxis
gallery,Képtár
gambling,szerencsejáték
game,"játszma, meccs"
games,játékok
gang,banda
garage,garázs
garbage,szemét
garden,kert
gary,Gary
gas,gáz
gasping,zümmögés
gasps,zihál
gate,kapu
gates,kapuk
gather,összegyűjt
gathered,összegyűjtött
gave,adott
gay,meleg
gear,felszerelés
gee,Jé
geez,geez
gene,gén
general,Tábornok
generation,generáció
generous,nagylelkű
genius,zseni
gentle,kedves
gentleman,úriember
gentlemen,Urak
gently,gyengéden
george,György
german,német
germans,németek
germany,Németország
get,kap
gets,kap
gettin,gettin
getting,szerzés
ghost,szellem
ghosts,szellemek
giant,óriás
gibbs,gibbs
gift,ajándék
gifts,ajándékok
gig,koncert
giggles,kuncog
giggling,kuncogó
gimme,gimm
gina,gina
ginger,gyömbér
girl,lány
girlfriend,barátnő
girls,lányok
give,adni
given,adott
gives,adás
giving,adás
glad,boldog
glass,üveg
glasses,szemüveg
global,globális
gloria,Gloria
glorious,dicső
glory,dicsőség
gloves,kesztyű
goal,cél
goat,kecske
god,Isten
goddamn,istenverte
goddess,istennő
gods,istenek
goes,elmegy
goin,menj be
going,haladó
gold,Arany
golden,aranysárga
golf,golf
gone,elmúlt
gonna,fog
good,jó
good-bye,viszontlátásra
goodbye,viszontlátásra
goodness,jóság
goodnight,jó éjszakát
goods,áruk
goose,liba
gordon,Gordon
gorgeous,gyönyörű
gosh,mindenit
gossip,pletyka
got,kapott
gotta,Kell
gotten,megszerzett
government,kormány
governor,kormányzó
grab,Megragad
grabbed,megragadott
grace,kegyelem
grade,fokozat
graham,graham
grand,nagy
grandfather,nagyapa
grandma,nagymama
grandmother,nagymama
grandpa,nagypapa
grandson,unoka
grant,támogatás
granted,megadott
granny,nagyi
grass,fű
grateful,hálás
grave,sír
gravity,gravitáció
gray,szürke
great,nagy
greater,nagyobb
greatest,legnagyobb
greek,görög
green,zöld
greetings,üdvözlet
greg,Greg
grew,nőtt
grey,szürke
grief,bánat
grip,markolat
groaning,nyögés
groans,nyögés
groom,vőlegény
gross,bruttó
ground,talaj
grounds,alapok
group,csoport
groups,csoportok
grow,nő
growing,növekvő
growling,morgás
growls,morgás
grown,felnőtt
grows,növekszik
grunting,morgás
grunts,morgás
guarantee,garancia
guard,őr
guardian,gyám
guards,gárdisták
guess,Találd ki
guessing,találgatás
guest,vendég
guests,vendégek
guide,útmutató
guilt,bűnösség
guilty,bűnös
guitar,gitár
gum,gumi
gun,pisztoly
gunfire,ágyúzás
guns,fegyverek
gunshot,puskalövés
gunshots,lövések
gus,gus
gut,belek
guts,belek
guy,fickó
guys,srácok
gym,tornaterem
habit,szokás
had,volt
hadn,héja
hail,jégeső
hair,haj
half,fél
halfway,félúton
hall,előszoba
halloween,halloween
halt,Állj
ham,sonka
hammer,kalapács
han,Han
hand,kéz
handed,átadott
handle,fogantyú
handled,kezelt
handling,kezelése
hands,keze
handsome,jóképű
hang,lóg
hanging,függő
hank,gombolyag
hannah,Hannah
happen,történik
happened,történt
happening,esemény
happens,történik
happier,boldogabb
happily,boldogan
happiness,boldogság
happy,boldog
hard,kemény
harder,nehezebb
hardly,alig
harm,sérelem
harold,harold
harper,harper
harris,harisi
harry,Harry
harsh,durva
harvey,harci
has,van
hasn,héja
hat,kalap
hate,gyűlöl
hated,gyűlölt
hates,utál
hatred,gyűlölet
have,van
haven,menedék
having,ha
head,fej
headache,fejfájás
headed,fejes
heading,cím
headquarters,központ
heads,fej
heal,gyógyít
health,Egészség
healthy,egészséges
hear,hall
heard,hallott
hearing,meghallgatás
heart,szív
hearts,szív
heat,melegít
heather,hanga
heaven,menny
heavens,mennyek
heavily,súlyosan
heavy,nehéz
heck,a fene
hector,Hector
heels,sarok
heh,heh
height,magasság
held,tartott
helen,Helen
helicopter,helikopter
hell,pokol
hello,Helló
helmet,sisak
help,Segítség
helped,segített
helpful,hasznos
helping,segít
helps,segít
henry,Henrik
her,neki
hercules,Herkules
here,itt
hero,hős
heroes,hősök
heroin,heroin
herr,herr
hers,az övé
herself,önmaga
hey,Hé
hid,elrejtette
hidden,rejtett
hide,elrejt
hiding,bujkál
high,magas
higher,magasabb
highest,legmagasabb
highly,magasan
highness,fenség
highway,országút
hill,hegy
hills,dombok
him,neki
himself,saját maga
hip,csípő
hire,bérel
hired,bérelt
his,övé
history,történelem
hit,találat
hitler,Hitler
hits,slágerek
hitting,ütés
hmm,hmm
hold,tart
holding,holding
holds,tart
hole,lyuk
holes,lyukak
holiday,ünnep
holidays,ünnepek
holmes,holmes
holy,szent
holly,magyal
hollywood,Hollywood
home,itthon
homeless,hajléktalan
homer,Homérosz
homes,házak
homework,házi feladat
homicide,emberölés
hon,tisztelőkészülék
honest,becsületes
honestly,őszintén
honey,édesem
honeymoon,nászút
hong,Hong
honking,csiszoló
honor,becsület
honored,megbecsült
honour,becsület
hood,kapucni
hook,horog
hooked,Függő
hop,komló
hope,remény
hoped,remélt
hopefully,remélhetőleg
hopeless,reménytelen
hopes,remények
hoping,remélve
horn,kürt
horrible,szörnyű
horror,borzalom
horse,ló
horses,lovak
hospital,kórház
host,házigazda
hostage,túsz
hot,forró
hotel,szálloda
hour,óra
hours,órák
house,ház
houses,házak
how,hogyan
howard,húgyos
however,azonban
hug,Ölelés
huge,hatalmas
huh,Hát
human,emberi
humanity,emberiség
humans,emberek
humble,alázatos
humming,zümmögő
humor,humor
hundred,száz
hundreds,százai
hung,lógott
hunger,éhség
hungry,éhes
hunt,vadászat
hunter,vadász
hunting,vadászat
hurry,siet
hurt,sért
hurting,fájás
hurts,fáj
husband,férj
hut,kunyhó
i-i,I-I
i.d.,I.D.
ian,ian
ice,jég
idea,ötlet
ideal,ideál
ideas,ötletek
identified,azonosított
identify,azonosítani
identity,identitás
idiot,idióta
idiots,idióták
ignore,figyelmen kívül hagyni
iike,iike
ill,beteg
illegal,illegális
illness,betegség
image,kép
images,képek
imagination,képzelet
imagine,Képzeld el
imagined,elképzelt
immediate,azonnali
immediately,azonnal
immunity,immunitás
impact,hatás
imperial,császári
importance,fontosság
important,fontos
impossible,lehetetlen
impress,lenyűgöz
impressed,lenyűgözött
impression,benyomás
impressive,hatásos
improve,javít
inch,hüvelyk
inches,hüvelyk
incident,incidens
include,tartalmaz
including,beleértve
increase,növekedés
incredible,hihetetlen
incredibly,hihetetlenül
indeed,valóban
independent,független
india,India
indian,indián
indians,indiánok
indistinct,homályos
indistinctly,határozatlanul
individual,Egyedi
industry,ipar
infected,fertőzött
infection,fertőzés
influence,befolyás
inform,tájékoztat
information,információ
informed,tájékozott
injured,sérült
injuries,sérülések
injury,sérülés
inn,fogadó
inner,belső
innocent,ártatlan
insane,őrült
inside,belül
insist,ragaszkodik valamihez
insisted,ragaszkodott
inspector,ellenőr
inspired,ihletett
instance,példa
instant,azonnali
instead,helyette
instructions,utasítás
instrumental,hangszeres
insult,sértés
insurance,biztosítás
intelligence,intelligencia
intelligent,intelligens
intend,szándékozik
intended,szándékolt
intense,erős
intention,szándék
interest,érdeklődés
interested,érdekelt
interesting,érdekes
interests,érdeklődés
interfere,beavatkozik
internal,belső
international,nemzetközi
internet,Internet
interrupt,megszakít
interview,interjú
into,-ba
introduce,bemutatni
introduced,bemutatott
invented,feltalált
investigate,kivizsgál
investigating,nyomozó
investigation,vizsgálat
investment,beruházás
invisible,láthatatlan
invitation,meghívás
invite,meghív
invited,meghívott
involved,magában foglal
iraq,Irak
irish,ír
iron,Vas
island,sziget
islands,szigetek
isn,ISN
israel,Izrael
issue,probléma
issues,problémák
italian,olasz
italy,Olaszország
item,tétel
items,tárgyak
its,az
itself,maga
ivan,Iván
jack,Jack
jacket,dzseki
jackie,jackie
jackson,jackson
jacob,Jákób
jail,börtön
jake,Jake
jam,lekvár
james,James
jamie,Jamie
jane,Jane
janet,Janet
january,január
japan,Japán
japanese,japán
jason,Jason
jay,jay
jazz,dzsessz
jealous,irigy
jean,farmer
jeez,Jézusom
jeff,Jeff
jen,jen
jenna,Jenna
jennifer,Jennifer
jenny,Jenny
jeremy,Jeremy
jerk,bunkó
jerry,jerry
jersey,Jersey
jess,jess
jesse,jesse
jessica,Jessica
jesus,Jézus
jet,vadászgép
jew,zsidó
jewelry,ékszerek
jewish,zsidó
jews,zsidók
jill,jill
jim,Jim
jimmy,Jimmy
jin,jin
joan,Joan
job,munka
jobs,munkakör
joe,Joe
joey,Joey
john,János
johnson,Johnson
johnny,Johnny
join,csatlakozik
joined,csatlakozott
joining,csatlakozás
joint,közös
joke,tréfa
jokes,viccek
joking,viccelődés
jon,Jon
jonathan,jonathan
jones,Jones
jordan,Jordánia
joseph,József
josh,megtréfál
journalist,újságíró
journey,utazás
joy,öröm
juan,Juan
judge,bíró
judges,bírók
judgment,ítélet
judy,Judy
juice,gyümölcslé
jules,jules
julia,Julia
julian,julianus
julie,julie
july,július
jump,ugrás
jumped,ugrott
jumping,ugrás
june,június
jungle,dzsungel
junior,fiatal
junk,szemét
jury,zsűri
just,éppen
just-,éppen-
justice,igazságszolgáltatás
justin,justin
kang,kang
karen,karen
karl,karl
kate,Kate
katie,Katie
keen,lelkes
keep,tart
keeping,tartás
keeps,megtart
keith,Keith
kelly,koszos
ken,ken
kent,Kent
kenny,kenny
kept,tartotta
kevin,Kevin
key,kulcs
keys,kulcsok
khan,kán
kick,rúgás
kicked,rúgott
kicking,rúgás
kid,kölyök
kidding,viccelődés
kidnapped,elrabolt
kidnapping,emberrablás
kids,gyerekek
kill,megöl
killed,megölt
killer,gyilkos
killers,gyilkos
killing,gyilkolás
kills,megöl
kim,Kim
kind,kedves
kinda,kissé
kindly,kedvesen
kindness,kedvesség
kinds,fajta
king,király
kingdom,királyság
kings,királyok
kiss,csók
kissed,megcsókolt
kisses,Puszi
kissing,csókolózás
kit,készlet
kitchen,konyha
kitty,cica
knee,térd
knees,térd
knew,tudta
knife,kés
knight,lovag
knock,kopogás
knocked,kopogtatott
knocking,kopogás
know,tud
knowing,tudó
knowledge,tudás
known,ismert
knows,tud
kong,Kong
korea,Korea
korean,koreai
kurt,kurta
kyle,Kyle
l.a.,L.A.
lab,labor
labor,munkaerő
lack,hiányzik
lad,legény
ladder,létra
ladies,hölgyek
lads,hölgyek
lady,hölgy
laid,terített
lake,tó
lamb,Bárány
lame,béna
lamp,lámpa
lance,lándzsa
land,föld
landed,leszállt
landing,leszállás
lands,föld
lane,sáv
language,nyelv
lap,ölelés
large,nagy
larger,nagyobb
largest,legnagyobb
larry,Larry
last,utolsó
late,késő
lately,utóbbi időben
later,a későbbiekben
latest,legújabb
latin,latin
laugh,nevetés
laughed,nevetett
laughing,nevetés
laughs,nevet
laughter,nevetés
launch,dob
laundry,mosoda
laura,Laura
lauren,Lauren
law,törvény
lawrence,Lawrence
laws,törvény
lawyer,jogász
lawyers,ügyvédek
lay,világi
laying,lefektetés
lazy,lusta
lead,vezet
leader,vezető
leaders,vezetők
leading,vezető
leads,vezet
league,liga
leak,szivárog
lean,sovány
learn,tanul
learned,tanult
learning,tanulás
least,legkevésbé
leather,Bőr
leave,elhagy
leaves,levelek
leaving,kilépő
lecture,előadás
led,vezette
lee,lee
left,bal
leg,láb
legal,jogi
legend,legenda
legs,lábak
lemon,citrom
lend,kölcsönöz
leo,Oroszlán
leon,Leon
leonard,Leonard
leslie,Leslie
less,Kevésbé
lesson,lecke
lessons,órák
let,enged
lets,engedt
letter,levél
letters,betűk
letting,engedés
level,szint
levels,szint
lewis,Lewis
liam,liam
liar,hazug
liberty,szabadság
library,könyvtár
license,engedély
lie,fekszik
lied,hazugság
lies,hazugság
lieutenant,hadnagy
life,élet
lifetime,élettartam
lift,emel
light,fény
lighter,öngyújtó
lightning,villám
lights,Lámpák
like,mint
liked,tetszett
likely,valószínűleg
likes,kedveli
lily,liliom
limit,határ
limited,korlátozott
limits,korlátok
lincoln,Lincoln
linda,Linda
line,vonal
lines,vonal
link,link
lion,oroszlán
lip,ajak
lips,ajkak
liquid,folyékony
liquor,folyadék
lisa,Lisa
list,lista
listen,hallgat
listened,hallgatott
listening,hallgatás
lit,megvilágított
literally,szó szerint
little,kis
live,élő
lived,élt
liver,máj
lives,élet
living,élő
liz,liz
lloyd,Lloyd
load,Betöltés
loaded,töltött
loan,hitel
local,helyi
located,elhelyezkedő
location,elhelyezkedés
lock,zár
locked,zárt
locker,öltözőszekrény
log,fatörzs
logan,Logan
lois,lois
london,London
lonely,magányos
long,hosszú
longer,hosszabb
look,néz
looked,nézett
lookin,benéz
looking,kinézetű
looks,kinézet
loose,laza
lord,lord
los,los
lose,elveszít
loser,vesztes
loses,vesztes
losing,vesztes
loss,veszteség
lost,elveszett
lot,sok
lots,sok
lou,lukt
loud,hangos
louder,hangosabb
louis,Louis
louise,Louise
lousy,tetves
love,szerelem
loved,szeretett
lovely,bájos
lover,szerető
lovers,szerelmesek
loves,szeret
loving,szerető
low,alacsony
lower,Alsó
loyal,hűséges
loyalty,hűség
lucas,Lucas
luck,szerencse
luckily,szerencsére
lucky,szerencsés
lucy,Lucy
luggage,poggyász
luke,lukács
lunch,ebéd
lung,tüdő
lungs,tüdő
lying,fekvő
mac,MAC
machine,gép
machines,gépek
mad,őrült
madam,Hölgyem
madame,asszonyom
made,készült
madness,őrültség
magazine,magazin
maggie,mágikus
magic,varázslat
magical,mágikus
magnificent,Káprázatos
maid,szobalány
mail,levél
main,fő-
maintain,fenntart
majesty,felség
major,Jelentősebb
make,készít
makes,készít
makeup,smink
making,készítés
malcolm,malcolm
male,férfi
mall,pláza
mama,mama
man,Férfi
manage,kezel
managed,kezelt
management,vezetés
manager,menedzser
mankind,emberiség
manner,mód
manners,modor
many,sok
map,térkép
march,március
marco,Marco
marcus,Marcus
margaret,margaret
maria,Maria
marie,Marie
marine,tengeri
mario,mario
mark,Mark
marked,megjelölt
market,piac
marks,jelek
marriage,házasság
married,házas
marry,feleségül vesz
marrying,házasság
mars,Mars
marshal,marsall
marshall,marshall
martha,Martha
martial,harcias
martin,Márton
marty,marty
mary,Mária
mask,maszk
mason,kőműves
mass,tömeg
massage,masszázs
massive,tömeges
master,fő-
masters,mesterek
match,mérkőzés
matches,mérkőzések
mate,társ
material,anyag
math,matematika
matt,matt
matter,ügy
matters,számít
matthew,Máté
max,maximum
may,lehet
maya,maya
maybe,talán
mayor,polgármester
meal,étkezés
mean,átlagos
meaning,értelem
means,eszközök
meant,jelentett
meantime,közben
meanwhile,közben
measure,intézkedés
meat,hús
medal,érem
media,média
medical,orvosi
medication,gyógyszer
medicine,gyógyszer
meet,találkozik
meeting,találkozó
meetings,találkozók
megan,Megan
mel,mel
melissa,méhfű
member,tag
members,tagok
memories,emlékek
memory,memória
men,férfiak
mental,szellemi
mention,említés
mentioned,említett
menu,menü
mercy,kegyelem
mere,puszta
merely,csupán
merry,vidám
mess,rendetlenség
message,üzenet
messages,üzenetek
messed,összezavarodott
messing,összezavar
met,találkozott
metal,fém
meters,méter
method,módszer
mexican,mexikói
mexico,Mexikó
mia,MIA
miami,Miami
michael,Michael
michelle,Michelle
mickey,Mickey
middle,középső
midnight,éjfél
might,esetleg
mighty,hatalmas
mike,mikrofon
mile,mérföld
miles,mérföld
military,katonai
milk,tej
miller,molnár
million,millió
millions,milliók
mind,ész
minds,elme
mine,enyém
minister,miniszter
minor,kiskorú
minute,perc
minutes,percek
miracle,csoda
mirror,tükör
miserable,nyomorult
misery,szenvedés
miss,hiányzik
missed,nem fogadott
missing,hiányzó
mission,küldetés
mistake,hiba
mistaken,téves
mistakes,hibák
mister,uram
mistress,úrnő
misunderstanding,félreértés
mitch,bukás
mitchell,Mitchell
mix,keverd össze
mixed,vegyes
mm-hm,MM-HM
mm-hmm,mm-hmm
mmm,mmm
mmm-hmm,mmm-hmm
moaning,nyögés
mob,csőcselék
mobile,Mobil
model,modell
models,modellek
modern,modern
molly,molly
mom,anya
moment,pillanat
moments,pillanatok
mommy,anyu
monday,hétfő
money,pénz
monica,monika
monitor,monitor
monk,szerzetes
monkey,majom
monsieur,úr
monster,szörnyeteg
monsters,szörnyek
month,hónap
months,hónapok
mood,hangulat
moon,hold
moral,erkölcsi
more,több
morgan,Morgan
morning,reggel
moron,idióta
moscow,Moszkva
most,a legtöbb
mostly,többnyire
motel,motel
mother,anya
motherfucker,anyavágó
mothers,anyák
motion,mozgás
motive,indíték
motor,motor
motorcycle,motorbicikli
mount,hegy
mountain,hegy
mountains,hegyek
mouse,egér
mouth,száj
move,mozog
moved,mozgatott
movement,mozgalom
moves,mozog
movie,film
movies,filmek
moving,mozgó
mr.,úr.
mrs,Asszony
mrs.,Asszony.
ms.,Kisasszony.
much,sokkal
mud,sár
muffled,tompított
multiple,többszörös
mum,mama
mummy,múmia
murder,gyilkosság
murdered,meggyilkolt
murderer,gyilkos
murders,gyilkosság
murphy,murfy
muscle,izom
museum,múzeum
music,zene
musical,zenei
must,kell
mustn,kötelező
myself,magamat
mysterious,rejtélyes
mystery,rejtély
nah,nem
nail,köröm
nails,köröm
naked,meztelen
name,név
named,nevezett
names,nevek
nancy,nancy
nanny,dajka
nap,szundikál
narrator,narrátor
narrow,keskeny
nasty,csúnya
natalie,Natalie
nate,nate
nathan,Nathan
nation,nemzet
national,nemzeti
native,anyanyelvi
natural,természetes
naturally,természetesen
nature,természet
naughty,rossz
navy,haditengerészet
near,közel
nearby,Közeli
nearly,közel
neat,tiszta
necessarily,szükségszerűen
necessary,szükséges
neck,nyak
necklace,nyaklánc
need,szükség
needed,szükséges
needle,tű
needs,igények
negative,negatív
neighbor,szomszéd
neighborhood,szomszédság
neighbors,szomszédok
neil,neil
neither,se
nelson,nelson
nephew,unokaöcs
nerve,ideg
nerves,idegek
nervous,ideges
nest,fészek
net,háló
network,hálózat
never,soha
new,új
news,hírek
newspaper,újság
newspapers,újságok
next,következő
nice,szép
nicely,szépen
nick,bukás
nicole,nicole
niece,unokahúg
nigga,nigga
night,éjszaka
nightmare,lidércnyomás
nights,éjszakai
nina,nina
nine,kilenc
no-one,senki
no.,nem.
noah,Noé
noble,nemes
nobody,senki
noise,zaj
none,egyik sem
nonsense,ostobaság
noon,dél
nope,dehogy
nor,sem
nora,Nora
normal,Normál
normally,normális esetben
norman,normann
north,északi
northern,északi
nose,orr
not,nem
note,jegyzet
notes,jegyzet
nothin,semmi
nothing,semmi
notice,értesítés
noticed,megjegyezte
novel,regény
november,november
now,Most
nowadays,Manapság
nowhere,most itt
nuclear,nukleáris
number,szám
numbers,szám
nurse,ápoló
nut,dió
nuts,diófélék
oath,eskü
obey,engedelmeskedik
object,tárgy
objection,ellenvetés
objects,tárgyak
observe,megfigyel
obsessed,megszállott
obvious,nyilvánvaló
obviously,magától értetődően
occasion,alkalom
occurred,megtörtént
ocean,óceán
october,október
odd,páratlan
odds,esély
off,ki
offense,bűncselekmény
offer,ajánlat
offered,felajánlott
offering,ajánlat
office,hivatal
officer,tiszt
officers,tisztviselők
official,hivatalos
officially,hivatalosan
often,gyakran
ohh,ohh
oil,olaj
okay,oké
old,régi
older,idősebb
oldest,legrégebbi
oliver,oliver
olivia,Olivia
once,egyszer
one,egy
ones,azok
online,online
only,csak
onto,-ra
ooh,ó
oops,lopog
open,nyisd ki
opened,nyitott
opening,Nyítás
opens,kinyit
opera,opera
operate,működtet
operating,üzemeltetési
operation,művelet
operations,tevékenységek
operator,operátor
opinion,vélemény
opportunity,lehetőség
opposite,szemben
option,választási lehetőség
options,lehetőségek
orange,narancs
order,rendelés
ordered,elrendelt
orders,megrendelés
ordinary,rendes
organization,szervezet
organized,szervezett
original,eredeti
oscar,OSCAR
other,Egyéb
others,mások
otherwise,másképp
ouch,Jaj
ought,kellene
our,a miénk
ours,a miénk
ourselves,minket
out,ki
outfit,felszerelés
outside,kívül
outta,kívül
oven,sütő
over,felett
overnight,éjszakai
owe,tartozik
owen,Owen
own,saját
owned,birtokolt
owner,tulajdonos
owns,tulajdonosa
oxygen,oxigén
p.m.,délután.
pacific,békés
pack,csomag
package,csomag
packed,csomagolt
packing,csomagolás
page,oldal
pages,oldalak
paid,fizetett
paige,pamid
pain,fájdalom
painful,fájdalmas
paint,festék
painted,festett
painting,festmény
paintings,festmény
pair,pár
pal,haver
palace,palota
pale,sápadt
palm,tenyér
pam,pam
pan,Pán
panic,pánik
panting,zihálás
pants,nadrág
papa,papa
paper,papír
papers,papírok
paperwork,papírmunka
parade,felvonulás
paradise,paradicsom
paranoid,paranoid
pardon,Bocsánat
parent,szülő
parents,szülők
paris,Párizs
park,park
parked,parkolt
parker,Parker
parking,parkolás
part,rész
particular,különös
particularly,különösen
parties,a felek
partner,partner
partners,partnerek
parts,alkatrészek
party,buli
pass,elhalad
passed,elhaladt
passengers,utasok
passes,átesik
passing,elhaladó
passion,szenvedély
passport,útlevél
past,múlt
pat,pácolás
patch,tapasz
path,pálya
pathetic,szánalmas
patience,türelem
patient,beteg
patients,betegek
patrick,Patrick
patrol,járőr
pattern,minta
paul,Pál
paula,Paula
pay,fizetés
paying,fizető
payment,fizetés
pays,fizet
peace,béke
peaceful,Békés
pearl,gyöngyszem
pee,pisil
peggy,peggy
pen,toll
penalty,büntetés
penis,hímvessző
penny,penny
people,emberek
pepper,bors
per,egy
percent,százalék
perfect,tökéletes
perfectly,tökéletesen
perform,fellép
performance,teljesítmény
perfume,parfüm
perhaps,talán
period,időszak
permanent,állandó
permission,engedély
permit,engedély
perry,körtebor
person,személy
personal,személyes
personality,személyiség
personally,Személyesen
personnel,személyzet
persons,személyek
perspective,perspektíva
pet,házi kedvenc
pete,pete
peter,Péter
petty,piti
phase,fázis
phil,phil
philip,philip
phone,telefon
phones,telefon
photo,fénykép
photograph,fénykép
photographer,fotós
photographs,fényképek
photos,fotó
physical,fizikai
physically,fizikailag
piano,zongora
pick,szed
picked,válogatott
picking,szedés
picture,kép
pictures,képek
pie,pite
piece,darab
pieces,darabok
pierce,átszúr
pierre,Pierre
pig,malac
pigs,sertés
pile,halom
pill,tabletta
pillow,párna
pills,tabletták
pilot,pilóta
pin,csap
pink,rózsaszín
pipe,cső
piss,pisi
pissed,részeg
pit,gödör
pitch,hangmagasság
pity,kár
pizza,pizza
place,hely
placed,elhelyezett
places,hely
plain,egyszerű
plan,terv
plane,repülőgép
planes,sík
planet,bolygó
planets,bolygók
planned,tervezett
planning,tervezés
plans,tervek
plant,növény
planted,beültetett
plants,növények
plastic,műanyag
plate,lemez
plates,tányérok
play,játék
played,lejátszott
player,játékos
players,játékosok
playing,játék
plays,színdarab
pleasant,kellemes
please,kérem
pleased,elégedett
pleasure,öröm
plenty,bőven
plot,cselekmény
plus,plusz
pocket,zseb
pockets,zsebek
poem,vers
poet,költő
poetry,költészet
point,pont
points,pont
poison,méreg
poisoned,megmérgezett
poker,póker
pole,pólus
police,rendőrség
policeman,rendőr
policy,irányelv
polish,fényesít
polite,udvarias
political,politikai
politics,politika
pool,medence
poor,szegény
pop,pop
pope,pápa
pops,pops
popular,népszerű
population,népesség
pork,sertéshús
porn,pornó
port,kikötő
pos,pozíció
position,pozíció
positions,helyzet
positive,pozitív
possession,birtoklás
possibility,lehetőség
possible,lehetséges
possibly,esetleg
post,oszlop
posted,közzétett
pot,edény
potato,burgonya
potatoes,krumpli
potential,lehetséges
pound,font
pounds,font
pour,öntés
powder,por
power,erő
powerful,erős
powers,hatalom
practical,gyakorlati
practically,gyakorlatilag
practice,gyakorlat
praise,dicséret
pray,imádkozik
prayer,ima
prayers,imák
praying,imádkozás
precious,értékes
precisely,pontosan
prefer,jobban szeret
pregnant,terhes
prepare,készít
prepared,előkészített
preparing,előkészítés
presence,jelenlét
present,ajándék
presents,ajándékok
president,elnök
press,nyomja meg
pressure,nyomás
pretend,színlel
pretending,színlelő
pretty,szép
prevent,megakadályoz
previous,előző
previously,korábban
price,ár
prick,pöcs
pride,büszkeség
priest,pap
primary,elsődleges
prime,elsődleges
prince,herceg
princess,hercegnő
principal,fő
print,nyomtatás
prints,nyomatok
priority,kiemelten fontos
prison,börtön
prisoner,Rab
prisoners,foglyok
privacy,magánélet
private,magán
prize,díj
pro,profi
probably,valószínűleg
problem,probléma
problems,problémák
procedure,eljárás
proceed,folytassa
process,folyamat
produce,termel
produced,előállított
producer,termelő
product,termék
production,Termelés
profession,szakma
professional,szakmai
professor,Egyetemi tanár
profile,profil
profit,nyereség
program,program
progress,előrehalad
project,projekt
prom,promóciós
promise,ígéret
promised,igért
promises,ígéretek
promotion,promóció
proof,bizonyíték
proper,megfelelő
properly,megfelelően
property,ingatlan
proposal,javaslat
propose,javasol
prosecutor,ügyész
protect,véd
protected,védett
protecting,védelem
protection,védelem
protest,tiltakozás
proud,büszke
prove,bizonyít
proved,bizonyított
provide,biztosítani
provided,biztosítani
psychic,lelki
psycho,pszicho
pub,kocsma
public,nyilvános
pull,Húzni
pulled,húzott
pulling,húzás
pulse,impulzus
pump,szivattyú
punch,puncs
punish,büntet
punished,büntetett
punishment,büntetés
punk,punk
puppy,kölyökkutya
pure,tiszta
purple,lila
purpose,célja
purse,pénztárca
push,nyom
pushed,meglökött
pushing,toló
pussy,punci
put,elhelyez
puts,elhelyez
putting,elhelyezés
quality,minőség
quarter,negyed
quarters,szállás
queen,királynő
question,kérdés
questioning,megkérdőjelezés
questions,kérdés
quick,gyors
quickly,gyorsan
quiet,csendes
quietly,csendesen
quinn,quinn
quit,Kilépés
quite,egészen
quote,idézet
rabbit,nyúl
race,verseny
rachel,Rachel
racing,verseny
radar,radar
radiation,sugárzás
radio,rádió
rage,düh
raid,rajtaütés
rain,eső
raining,esőzés
raise,emel
raised,emelt
raising,emelés
ralph,ralph
ram,kos
ran,futott
ranch,tanya
random,véletlen
randy,rázkós
range,hatótávolság
rangers,őrök
rap,rap
rape,erőszak
raped,megerőszakolt
rare,ritka
rat,patkány
rate,mérték
rather,Inkább
rats,patkányok
raw,nyers
ray,sugár
raymond,Raymond
reach,elér
reached,elért
react,reagál
reaction,reakció
read,olvas
reading,olvasás
ready,kész
real,igazi
realise,Rájön
realised,megvalósult
reality,valóság
realize,Rájön
realized,megvalósult
really,igazán
rear,hátulsó
reason,ok
reasonable,ésszerű
reasons,okok
rebecca,tündér
recall,visszahívás
receive,kap
received,beérkezett
recent,friss
recently,mostanában
reception,recepció
reckon,számol
recognise,elismerik
recognize,elismerik
recognized,elismert
recommend,javasol
record,rekord
recorded,rögzített
recording,felvétel
records,nyilvántartás
recover,visszaszerez
recovered,helyrehozott
recovery,felépülés
red,piros
refuse,megtagadja
refused,megtagadta
regarding,tekintettel
region,vidék
register,Regisztráció
registered,bejegyzett
regret,megbánás
regular,szabályos
rehearsal,próba
related,összefüggő
relations,kapcsolatok
relationship,kapcsolat
relationships,kapcsolatok
relative,relatív
relatives,rokonok
relax,ellazul
release,kiadás
released,elengedett
relief,megkönnyebbülés
relieved,megkönnyebbült
religion,vallás
religious,vallási
rely,támaszkodni
remain,marad
remaining,többi
remains,maradványok
remarkable,figyelemre méltó
remember,emlékezik
remembered,Emlékezett
remind,emlékeztet
reminds,emlékeztet
remote,távoli
remove,eltávolítás
removed,eltávolított
rent,bérlés
repair,javítás
repeat,ismétlés
replace,cserél
replaced,cserélt
report,jelentés
reported,jelentett
reporter,riporter
reporting,jelentés
reports,jelentések
represent,képvisel
republic,köztársaság
reputation,hírnév
request,kérés
requested,kért
require,megkövetel
required,kívánt
requires,igényel
rescue,mentés
research,kutatás
resist,ellenáll
resistance,ellenállás
resources,erőforrások
